symptomKey,nutrientKey,probability
Плохое зрение в темноте,vitaminA,70
Плохое зрение в темноте,vitaminB2,20
Сухость кожи,vitaminA,40
Сухость кожи,zinc,30
Сухость кожи,vitaminE,20
Усталость,vitaminB12,40
Усталость,iron,40
Усталость,vitaminB9,20
Усталость,vitaminB6,20
Усталость,vitaminB1,20
Раздражительность,vitaminB6,50
Раздражительность,vitaminB1,30
Мышечная слабость,vitaminD,50
Мышечная слабость,vitaminE,30
Мышечная слабость,vitaminB12,20
Мышечная слабость,magnesium,20
Кровоточивость дёсен,vitaminC,70
Кровоточивость дёсен,vitaminK,20
Медленное заживление ран,vitaminC,50
Медленное заживление ран,zinc,30
Медленное заживление ран,vitaminA,20
Выпадение волос,zinc,40
Выпадение волос,iron,30
Выпадение волос,vitaminB7,20
Выпадение волос,vitaminD,20
Выпадение волос,magnesium,20
Ломкость ногтей,vitaminB7,40
Ломкость ногтей,iron,30
Ломкость ногтей,calcium,20
Ломкость ногтей,zinc,20
Частые инфекции,vitaminC,30
Частые инфекции,vitaminD,20
Частые инфекции,zinc,20
Частые инфекции,iron,10
Плохая память / спутанность сознания,choline,30
Плохая память / спутанность сознания,vitaminB1,30
Плохая память / спутанность сознания,vitaminB12,20
Депрессия / подавленность,vitaminB6,40
Депрессия / подавленность,vitaminB12,30
Депрессия / подавленность,vitaminD,30
ПМС (предменструальный синдром),calcium,40
ПМС (предменструальный синдром),vitaminB6,30
ПМС (предменструальный синдром),magnesium,30
ПМС (предменструальный синдром),vitaminE,20
Мышечные судороги / спазмы,magnesium,80
Мышечные судороги / спазмы,calcium,60
Мышечные судороги / спазмы,vitaminB5,40
Мышечные судороги / спазмы,potassium,50
Покалывания / онемение конечностей,vitaminB12,50
Покалывания / онемение конечностей,vitaminB1,30
Покалывания / онемение конечностей,magnesium,20
Бессонница,magnesium,40
Бессонница,vitaminB6,30
Бессонница,vitaminB12,20
Анемия,iron,70
Анемия,vitaminB9,30
Анемия,vitaminB12,30
Головокружение / головная боль,iron,30
Головокружение / головная боль,vitaminB12,20
Головокружение / головная боль,magnesium,10
Подёргивания мышц,magnesium,50
Подёргивания мышц,calcium,40
Подёргивания мышц,vitaminD,20
Сухие / слезящиеся глаза,vitaminA,40
Сухие / слезящиеся глаза,vitaminB2,10


